Kine	Model	x	Azz	Creator
H2	alphaVd-AV18-Norm-MEC-IC-Rel	1.7011385408	0	Arenhovel
H2	alphaVd-AV18-Norm-MEC-IC-Rel	1.7994513207	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	0.4996086377	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	0.5997665307	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	0.7000155104	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	0.800668948	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	0.900200667	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.0006338037	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.0995925982	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.1996950401	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.2998725636	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.4002760489	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.4994644822	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.6007972695	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.6995307221	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.8005895525	0	Arenhovel
H3	alphaVd-AV18-Norm-MEC-IC-Rel	1.848874409	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	0.5000405957	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	0.6000977458	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	0.7000616967	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	0.7999575457	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	0.8998828544	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.0001130542	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.0998631843	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.1999613999	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.3000445741	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.399795137	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.5000781549	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.6002577808	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.7001307468	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.7999970169	0	Arenhovel
S1	alphaVd-AV18-Norm-MEC-IC-Rel	1.8224001166	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.2999757053	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.3999814772	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.5000375282	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.6001243325	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.7001344816	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.8001234338	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.8999077646	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	0.999991249	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.0999505714	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.1998419496	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.3001863167	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.3999864363	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.5002416629	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.5289776332	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.6000925482	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.700213283	0	Arenhovel
S2	alphaVd-AV18-Norm-MEC-IC-Rel	1.7995076923	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.2999759786	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.399958867	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.5001316578	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.6005276873	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.6997029355	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.7993446575	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.8988560579	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	0.9997200575	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.1002595217	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.2006567772	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.2997834945	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.4005370117	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.4989332182	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.5998752034	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.6979140922	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.8005548914	0	Arenhovel
S3	alphaVd-AV18-Norm-MEC-IC-Rel	1.8195126913	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.4996744705	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.5997147865	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.6999962056	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.7999316648	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.899931421	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.9988445419	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	0.9996420716	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.0999702645	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.1999984627	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.3006173414	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.4000831526	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.500648218	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.6004188603	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.7008086785	0	Arenhovel
H1	alphaVd-AV18-Norm-Rel	1.801004768	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	0.5996025435	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	0.6998091847	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	0.8001846782	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	0.8992858812	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.0007720307	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.0998168093	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.2007688825	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.2995771408	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.3990904383	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.4992281909	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.5040874276	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.6008699773	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.7011385408	0	Arenhovel
H2	alphaVd-AV18-Norm-Rel	1.7994513207	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	0.4996086377	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	0.5997665307	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	0.7000155104	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	0.800668948	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	0.900200667	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.0006338037	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.0995925982	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.1996950401	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.2998725636	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.4002760489	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.4994644822	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.6007972695	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.6995307221	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.8005895525	0	Arenhovel
H3	alphaVd-AV18-Norm-Rel	1.848874409	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	0.5000405957	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	0.6000977458	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	0.7000616967	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	0.7999575457	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	0.8998828544	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.0001130542	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.0998631843	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.1999613999	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.3000445741	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.399795137	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.5000781549	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.6002577808	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.7001307468	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.7999970169	0	Arenhovel
S1	alphaVd-AV18-Norm-Rel	1.8224001166	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.2999757053	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.3999814772	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.5000375282	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.6001243325	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.7001344816	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.8001234338	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.8999077646	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	0.999991249	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.0999505714	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.1998419496	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.3001863167	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.3999864363	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.5002416629	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.5289776332	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.6000925482	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.700213283	0	Arenhovel
S2	alphaVd-AV18-Norm-Rel	1.7995076923	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.2999759786	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.399958867	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.5001316578	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.6005276873	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.6997029355	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.7993446575	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.8988560579	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	0.9997200575	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.1002595217	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.2006567772	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.2997834945	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.4005370117	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.4989332182	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.5998752034	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.6979140922	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.8005548914	0	Arenhovel
S3	alphaVd-AV18-Norm-Rel	1.8195126913	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.4996744705	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.5997147865	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.6999962056	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.7999316648	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.899931421	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.9988445419	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	0.9996420716	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.0999702645	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.1999984627	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.3006173414	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.4000831526	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.500648218	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.6004188603	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.7008086785	0	Arenhovel
H1	alphaVd-AV18-PWBA-NR	1.801004768	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	0.5996025435	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	0.6998091847	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	0.8001846782	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	0.8992858812	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.0007720307	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.0998168093	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.2007688825	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.2995771408	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.3990904383	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.4992281909	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.5040874276	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.6008699773	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.7011385408	0	Arenhovel
H2	alphaVd-AV18-PWBA-NR	1.7994513207	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	0.4996086377	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	0.5997665307	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	0.7000155104	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	0.800668948	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	0.900200667	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.0006338037	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.0995925982	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.1996950401	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.2998725636	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.4002760489	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.4994644822	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.6007972695	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.6995307221	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.8005895525	0	Arenhovel
H3	alphaVd-AV18-PWBA-NR	1.848874409	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	0.5000405957	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	0.6000977458	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	0.7000616967	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	0.7999575457	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	0.8998828544	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.0001130542	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.0998631843	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.1999613999	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.3000445741	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.399795137	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.5000781549	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.6002577808	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.7001307468	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.7999970169	0	Arenhovel
S1	alphaVd-AV18-PWBA-NR	1.8224001166	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.2999757053	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.3999814772	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.5000375282	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.6001243325	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.7001344816	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.8001234338	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.8999077646	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	0.999991249	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.0999505714	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.1998419496	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.3001863167	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.3999864363	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.5002416629	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.5289776332	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.6000925482	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.700213283	0	Arenhovel
S2	alphaVd-AV18-PWBA-NR	1.7995076923	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.2999759786	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.399958867	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.5001316578	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.6005276873	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.6997029355	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.7993446575	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.8988560579	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	0.9997200575	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.1002595217	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.2006567772	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.2997834945	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.4005370117	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.4989332182	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.5998752034	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.6979140922	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.8005548914	0	Arenhovel
S3	alphaVd-AV18-PWBA-NR	1.8195126913	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.4996744705	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.5997147865	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.6999962056	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.7999316648	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.899931421	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.9988445419	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	0.9996420716	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.0999702645	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.1999984627	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.3006173414	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.4000831526	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.500648218	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.6004188603	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.7008086785	0	Arenhovel
H1	alphaVd-AV18-PWBA-RC	1.801004768	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	0.5996025435	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	0.6998091847	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	0.8001846782	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	0.8992858812	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.0007720307	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.0998168093	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.2007688825	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.2995771408	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.3990904383	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.4992281909	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.5040874276	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.6008699773	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.7011385408	0	Arenhovel
H2	alphaVd-AV18-PWBA-RC	1.7994513207	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	0.4996086377	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	0.5997665307	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	0.7000155104	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	0.800668948	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	0.900200667	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.0006338037	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.0995925982	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.1996950401	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.2998725636	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.4002760489	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.4994644822	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.6007972695	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.6995307221	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.8005895525	0	Arenhovel
H3	alphaVd-AV18-PWBA-RC	1.848874409	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	0.5000405957	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	0.6000977458	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	0.7000616967	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	0.7999575457	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	0.8998828544	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.0001130542	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.0998631843	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.1999613999	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.3000445741	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.399795137	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.5000781549	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.6002577808	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.7001307468	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.7999970169	0	Arenhovel
S1	alphaVd-AV18-PWBA-RC	1.8224001166	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.2999757053	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.3999814772	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.5000375282	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.6001243325	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.7001344816	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.8001234338	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.8999077646	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	0.999991249	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.0999505714	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.1998419496	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.3001863167	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.3999864363	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.5002416629	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.5289776332	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.6000925482	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.700213283	0	Arenhovel
S2	alphaVd-AV18-PWBA-RC	1.7995076923	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.2999759786	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.399958867	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.5001316578	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.6005276873	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.6997029355	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.7993446575	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.8988560579	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	0.9997200575	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.1002595217	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.2006567772	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.2997834945	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.4005370117	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.4989332182	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.5998752034	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.6979140922	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.8005548914	0	Arenhovel
S3	alphaVd-AV18-PWBA-RC	1.8195126913	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.4996744705	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.5997147865	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.6999962056	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.7999316648	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.899931421	0	Arenhovel
H1	alphaVd-Bonn-Norm	0.9996420716	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.0999702645	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.1999984627	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.3006173414	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.4000831526	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.500648218	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.6004188603	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.7008086785	0	Arenhovel
H1	alphaVd-Bonn-Norm	1.801004768	0	Arenhovel
H2	alphaVd-Bonn-Norm	0.5996025435	0	Arenhovel
H2	alphaVd-Bonn-Norm	0.6998091847	0	Arenhovel
H2	alphaVd-Bonn-Norm	0.8001846782	0	Arenhovel
H2	alphaVd-Bonn-Norm	0.8992858812	0	Arenhovel
H2	alphaVd-Bonn-Norm	1.0007720307	0	Arenhovel
H2	alphaVd-Bonn-Norm	1.0998168093	0	Arenhovel
H2	alphaVd-Bonn-Norm	1.2007688825	0	Arenhovel
H2	alphaVd-Bonn-Norm	1.2995771408	0	Arenhovel
H2	alphaVd-Bonn-Norm	1.3990904383	0	Arenhovel
